# AP's MAC (anonymized); channels; BSSIDs (anonymized); ESSIDs (anonymized); 802.11n; 802.11ac; 802.11ax; 802.11be; Manufacturers
1;2452|2457|2462|2462|5180;;;1;1;0;0;4;MICROSOFT CORP.|HUAWEI TECHNOLOGIES CO.,LTD|MICROSOFT CORP.
2;5180;;;1;1;0;0;5;
3;2462|2467;;;1;0;0;0;4;MICROSOFT CORP.|MICROSOFT CORP.
4;5220;;;1;1;1;0;6;
5;5180;;;1;1;0;0;5;
6;5745;;;1;1;0;0;5;
7;2412|2417;;;1;1;0;0;5;Samsung Electronics Co.,Ltd|Qualcomm Inc.|MICROSOFT CORP.
8;2452|2457|2462;;;1;0;0;0;4;MICROSOFT CORP.|MICROSOFT CORP.
9;2457|2462|2467;;;1;0;0;0;4;MediaTek Inc.|MICROSOFT CORP.|MediaTek Inc.
10;2457|2462|2467;;;1;0;0;0;4;MediaTek Inc.|MICROSOFT CORP.|MediaTek Inc.
11;5260;;;1;1;0;0;5;
12;5500;;;1;1;0;0;5;
13;5200;;;1;1;1;0;6;
14;5745;;;1;1;0;0;5;
15;2437|2452|2457|2462;;;1;1;0;0;5;MICROSOFT CORP.|MICROSOFT CORP.
16;5180;;;1;1;0;0;5;
17;2442|2447|2452;;;1;1;0;0;5;MICROSOFT CORP.|MICROSOFT CORP.
18;2412|2417|2417;;;1;0;0;0;4;MICROSOFT CORP.|Qualcomm Inc.|Atheros Communications, Inc.|MICROSOFT CORP.
19;5180|5180;;;1;1;0;0;5;Qualcomm Inc.|Atheros Communications, Inc.|MICROSOFT CORP.
20;5765;;;1;1;0;0;5;
21;5745;;;1;1;0;0;5;
22;2437;;;1;0;0;0;4;
23;5745;;;1;1;0;0;5;
24;2427|2432|2437;;;1;0;0;0;4;MICROSOFT CORP.|Broadcom|MICROSOFT CORP.
25;2437|2432|2442;;;1;0;0;0;4;MICROSOFT CORP.|MICROSOFT CORP.
26;5745|5745;;;1;1;0;0;5;MICROSOFT CORP.|MICROSOFT CORP.
27;2437|2432|2442;;;1;0;0;0;4;MICROSOFT CORP.|MICROSOFT CORP.
28;5500|5500;;;1;1;0;0;5;MICROSOFT CORP.|MICROSOFT CORP.
29;2437|2437|2432|2442;;;1;0;0;0;4;MICROSOFT CORP.|MICROSOFT CORP.
30;5805|5805;;;1;1;0;0;5;MICROSOFT CORP.|MICROSOFT CORP.
31;5805;;;1;1;1;0;6;
32;2417|2422|2427;;;1;1;0;0;5;MICROSOFT CORP.|Ralink Technology, Corp.|MICROSOFT CORP.
33;2437;;;1;0;0;0;4;
34;2457|2462;;;1;0;0;0;4;
35;5180;;;1;1;0;0;5;
36;5200;;;1;1;0;0;5;
37;5240;;;1;1;0;0;5;
38;2457|2462;;;1;0;0;0;4;REALTEK SEMICONDUCTOR CORP.|Epigram, Inc.|MICROSOFT CORP.|MICROSOFT CORP.
39;5220;;;1;1;1;0;6;
40;5220;;;1;1;1;0;6;
41;5220;;;1;1;0;0;5;
42;2412|2417|5500;;;1;1;0;0;4;MICROSOFT CORP.|Atheros Communications, Inc.|MICROSOFT CORP.
43;5745;;;1;1;0;0;5;
44;2457|2462|2467;;;1;1;0;0;5;MICROSOFT CORP.|Samsung Electronics Co.,Ltd|Qualcomm Inc.|MICROSOFT CORP.
45;5220;;;1;1;1;0;6;
46;2462|2457;;;1;0;0;0;4;MICROSOFT CORP.|Epigram, Inc.|MICROSOFT CORP.
47;2462;;;1;0;0;0;4;
48;5745;;;1;1;0;0;5;
49;2457;;;1;0;0;0;4;
50;2457|2462;;;1;0;0;0;4;MICROSOFT CORP.
51;2437;;;1;0;0;0;4;
52;2412;;;1;0;0;0;4;
53;5220;;;1;1;1;0;6;
54;2457|2462|2467;;;1;1;0;0;5;MICROSOFT CORP.|MICROSOFT CORP.
55;5745;;;1;1;0;0;5;
56;5220;;;1;1;1;0;6;
57;2432|2437|2442;;;1;0;0;0;4;MICROSOFT CORP.|Samsung Electronics Co.,Ltd|MICROSOFT CORP.
58;2437;;;1;1;0;0;5;
59;5540;;;1;1;0;0;5;
60;2412|2412|2417;;;1;0;0;0;4;MICROSOFT CORP.|MICROSOFT CORP.
61;5180|5180;;;1;1;0;0;5;MICROSOFT CORP.|MICROSOFT CORP.
62;5220;;;1;1;1;0;6;
63;2457;;;1;0;0;0;4;
